Agent Index,Group Index,Cities Visited,Chance meetings with group
0,0,12,3
1,1,11,1
2,2,11,1
3,3,10,1
4,4,11,0
5,5,10,3
6,6,12,2
7,7,13,0
8,8,10,3
9,9,13,5
10,10,10,0
11,11,9,1
12,12,15,2
13,13,10,3
14,14,12,1
15,15,10,3
16,16,10,1
17,17,10,0
18,18,11,2
19,19,9,2
20,20,9,3
21,21,10,4
22,22,11,0
23,23,9,1
24,24,10,3
25,25,10,3
26,26,9,1
27,27,8,6
28,28,10,2
29,29,12,2
30,30,9,1
31,31,7,3
32,32,10,4
33,33,8,1
34,34,10,1
35,35,12,4
36,36,11,0
37,37,10,1
38,38,10,2
39,39,11,2
40,40,11,3
41,41,17,3
42,42,10,2
43,43,13,3
44,44,12,4
45,45,11,2
46,46,11,3
47,47,13,2
48,48,10,2
49,49,10,2
50,50,8,0
51,51,11,3
52,52,8,2
53,53,9,1
54,54,10,1
55,55,11,4
56,56,13,3
57,57,8,2
58,58,10,2
59,59,11,2
60,60,11,1
61,61,10,1
62,62,14,2
63,63,13,2
64,64,9,2
65,65,11,1
66,66,13,3
67,67,10,1
68,68,13,0
69,69,11,4
70,70,9,1
71,71,13,4
72,72,9,3
73,73,14,2
74,74,11,1
75,75,16,2
76,76,12,3
77,77,10,7
78,78,11,3
79,79,9,3
80,80,12,1
81,81,14,1
82,82,9,2
83,83,11,2
84,84,7,1
85,85,10,0
86,86,14,0
87,87,10,2
88,88,9,1
89,89,12,2
90,90,10,1
91,91,9,0
92,92,11,0
93,93,12,3
94,94,11,3
95,95,9,1
96,96,11,3
97,97,10,1
98,98,9,1
99,99,10,2
100,0,10,0
101,1,9,2
102,2,14,3
103,3,9,3
104,4,8,3
105,5,8,1
106,6,10,2
107,7,13,5
108,8,11,2
109,9,13,6
110,10,10,3
111,11,12,1
112,12,9,4
113,13,10,4
114,14,11,3
115,15,10,1
116,16,12,2
117,17,8,0
118,18,11,4
119,19,8,1
120,20,10,1
121,21,9,2
122,22,16,3
123,23,10,1
124,24,12,3
125,25,11,3
126,26,10,2
127,27,15,2
128,28,10,1
129,29,9,1
130,30,10,3
131,31,14,1
132,32,12,2
133,33,9,3
134,34,9,2
135,35,12,0
136,36,9,2
137,37,10,2
138,38,10,1
139,39,10,1
140,40,15,1
141,41,9,1
142,42,9,3
143,43,11,4
144,44,9,0
145,45,9,3
146,46,10,1
147,47,11,4
148,48,9,0
149,49,12,4
150,50,10,1
151,51,13,4
152,52,11,1
153,53,11,1
154,54,10,1
155,55,12,4
156,56,10,2
157,57,11,0
158,58,12,3
159,59,10,1
160,60,12,0
161,61,9,2
162,62,9,2
163,63,12,2
164,64,11,0
165,65,11,3
166,66,7,1
167,67,13,1
168,68,17,1
169,69,9,1
170,70,12,4
171,71,9,3
172,72,14,4
173,73,9,0
174,74,9,1
175,75,13,1
176,76,8,1
177,77,8,1
178,78,13,0
179,79,11,3
180,80,11,1
181,81,8,0
182,82,10,2
183,83,12,6
184,84,10,1
185,85,11,3
186,86,11,2
187,87,13,4
188,88,13,0
189,89,11,1
190,90,10,1
191,91,11,1
192,92,10,0
193,93,12,3
194,94,12,1
195,95,12,4
196,96,10,2
197,97,9,2
198,98,10,2
199,99,14,3
200,0,8,1
201,1,8,3
202,2,10,1
203,3,12,2
204,4,8,2
205,5,9,1
206,6,11,4
207,7,10,2
208,8,9,1
209,9,12,1
210,10,12,2
211,11,13,1
212,12,12,3
213,13,8,4
214,14,11,2
215,15,13,5
216,16,11,1
217,17,9,2
218,18,11,6
219,19,17,2
220,20,9,1
221,21,10,1
222,22,12,1
223,23,9,1
224,24,9,3
225,25,11,0
226,26,10,2
227,27,10,3
228,28,10,3
229,29,14,4
230,30,11,2
231,31,8,1
232,32,13,2
233,33,11,0
234,34,11,3
235,35,9,2
236,36,11,1
237,37,9,1
238,38,12,1
239,39,11,2
240,40,10,0
241,41,15,3
242,42,8,1
243,43,10,1
244,44,9,1
245,45,11,1
246,46,8,1
247,47,13,2
248,48,11,1
249,49,14,3
250,50,10,0
251,51,11,3
252,52,12,2
253,53,9,0
254,54,14,1
255,55,9,1
256,56,10,3
257,57,10,3
258,58,10,1
259,59,10,2
260,60,12,1
261,61,8,1
262,62,10,3
263,63,9,0
264,64,10,2
265,65,9,2
266,66,13,4
267,67,12,5
268,68,9,2
269,69,9,1
270,70,12,1
271,71,9,1
272,72,8,0
273,73,11,2
274,74,12,4
275,75,10,2
276,76,10,3
277,77,10,2
278,78,7,4
279,79,10,0
280,80,12,4
281,81,13,1
282,82,11,2
283,83,7,2
284,84,16,1
285,85,10,2
286,86,11,2
287,87,9,4
288,88,11,3
289,89,9,1
290,90,14,5
291,91,10,0
292,92,12,3
293,93,11,2
294,94,8,3
295,95,11,3
296,96,9,2
297,97,9,2
298,98,9,2
299,99,12,3
300,0,11,1
301,1,12,2
302,2,8,1
303,3,7,1
304,4,13,0
305,5,13,3
306,6,13,0
307,7,12,3
308,8,11,4
309,9,10,2
310,10,10,4
311,11,13,0
312,12,8,0
313,13,10,3
314,14,14,3
315,15,14,5
316,16,14,4
317,17,14,2
318,18,9,3
319,19,12,2
320,20,10,3
321,21,11,2
322,22,11,2
323,23,9,2
324,24,10,1
325,25,8,1
326,26,10,1
327,27,13,2
328,28,10,0
329,29,8,1
330,30,8,1
331,31,8,2
332,32,9,1
333,33,9,1
334,34,11,0
335,35,8,0
336,36,9,1
337,37,11,1
338,38,10,2
339,39,12,0
340,40,8,1
341,41,14,3
342,42,10,1
343,43,8,3
344,44,10,3
345,45,9,1
346,46,14,1
347,47,7,1
348,48,14,4
349,49,12,2
350,50,9,1
351,51,13,3
352,52,10,0
353,53,11,0
354,54,12,1
355,55,11,0
356,56,14,1
357,57,9,2
358,58,11,1
359,59,12,2
360,60,8,0
361,61,9,0
362,62,11,1
363,63,13,4
364,64,11,1
365,65,14,1
366,66,13,2
367,67,9,1
368,68,9,0
369,69,9,2
370,70,10,1
371,71,9,4
372,72,9,3
373,73,14,4
374,74,10,1
375,75,12,4
376,76,11,2
377,77,11,1
378,78,8,2
379,79,12,3
380,80,11,3
381,81,10,1
382,82,14,2
383,83,12,3
384,84,14,2
385,85,12,1
386,86,12,1
387,87,10,0
388,88,10,1
389,89,14,2
390,90,12,3
391,91,9,4
392,92,14,4
393,93,15,0
394,94,11,2
395,95,14,2
396,96,9,0
397,97,8,0
398,98,8,1
399,99,11,2
400,0,10,2
401,1,8,4
402,2,10,5
403,3,11,0
404,4,9,1
405,5,11,2
406,6,7,3
407,7,12,0
408,8,10,0
409,9,8,2
410,10,10,3
411,11,9,1
