Group Index,Average Meets,Total
0,1.8,36
1,1.6,32
2,1.55,31
3,2.1,42
4,1.85,37
5,1.85,37
6,1.9,38
7,1.9,38
8,2,40
9,2.25,45
10,2,40
11,1.15,23
12,2.25,45
13,2.7,54
14,1.95,39
15,2.7,54
16,2.4,48
17,2.1,42
18,2.1,42
19,2.05,41
20,1.9,38
21,1.35,27
22,1.8,36
23,1.75,35
24,2.3,46
25,2.1,42
26,2.1,42
27,2.3,46
28,2.05,41
29,1.8,36
30,1.75,35
31,2.15,43
32,2.25,45
33,1.85,37
34,1.75,35
35,1.9,38
36,1.85,37
37,1.95,39
38,1.95,39
39,1.8,36
40,1.45,29
41,2.35,47
42,1.6,32
43,1.95,39
44,1.85,37
45,2.35,47
46,1.4,28
47,2.3,46
48,1.75,35
49,2.15,43
50,1.35,27
51,1.7,34
52,1.45,29
53,1.9,38
54,1.85,37
55,2,40
56,1.3,26
57,1.75,35
58,2.45,49
59,1.95,39
60,1.95,39
61,1.75,35
62,1.85,37
63,1.8,36
64,2.35,47
65,1.9,38
66,2,40
67,1.55,31
68,1.85,37
69,1.75,35
70,2.6,52
71,2.1,42
72,1.9,38
73,1.9,38
74,1.5,30
75,2.2,44
76,2.15,43
77,1.6,32
78,1.75,35
79,1.85,37
80,2,40
81,2.1,42
82,1.75,35
83,1.85,37
84,1.7,34
85,1.55,31
86,1.4,28
87,2.3,46
88,1.6,32
89,1.35,27
90,2.25,45
91,1.85,37
92,1.65,33
93,2.05,41
94,1.85,37
95,2.15,43
96,2.15,43
97,1.85,37
98,1.5,30
99,1.5,30
